hospital_id,row_seed_id,column_seed_id,covariance
FSITE_01,FSEED_01,FSEED_01,0.000225000000
FSITE_01,FSEED_01,FSEED_02,0.000045000000
FSITE_01,FSEED_01,FSEED_03,0.000045000000
FSITE_01,FSEED_01,FSEED_04,0.000045000000
FSITE_01,FSEED_01,FSEED_05,0.000045000000
FSITE_01,FSEED_01,FSEED_06,0.000045000000
FSITE_01,FSEED_01,FSEED_07,0.000045000000
FSITE_01,FSEED_01,FSEED_08,0.000045000000
FSITE_01,FSEED_02,FSEED_01,0.000045000000
FSITE_01,FSEED_02,FSEED_02,0.000225000000
FSITE_01,FSEED_02,FSEED_03,0.000045000000
FSITE_01,FSEED_02,FSEED_04,0.000045000000
FSITE_01,FSEED_02,FSEED_05,0.000045000000
FSITE_01,FSEED_02,FSEED_06,0.000045000000
FSITE_01,FSEED_02,FSEED_07,0.000045000000
FSITE_01,FSEED_02,FSEED_08,0.000045000000
FSITE_01,FSEED_03,FSEED_01,0.000045000000
FSITE_01,FSEED_03,FSEED_02,0.000045000000
FSITE_01,FSEED_03,FSEED_03,0.000225000000
FSITE_01,FSEED_03,FSEED_04,0.000045000000
FSITE_01,FSEED_03,FSEED_05,0.000045000000
FSITE_01,FSEED_03,FSEED_06,0.000045000000
FSITE_01,FSEED_03,FSEED_07,0.000045000000
FSITE_01,FSEED_03,FSEED_08,0.000045000000
FSITE_01,FSEED_04,FSEED_01,0.000045000000
FSITE_01,FSEED_04,FSEED_02,0.000045000000
FSITE_01,FSEED_04,FSEED_03,0.000045000000
FSITE_01,FSEED_04,FSEED_04,0.000225000000
FSITE_01,FSEED_04,FSEED_05,0.000045000000
FSITE_01,FSEED_04,FSEED_06,0.000045000000
FSITE_01,FSEED_04,FSEED_07,0.000045000000
FSITE_01,FSEED_04,FSEED_08,0.000045000000
FSITE_01,FSEED_05,FSEED_01,0.000045000000
FSITE_01,FSEED_05,FSEED_02,0.000045000000
FSITE_01,FSEED_05,FSEED_03,0.000045000000
FSITE_01,FSEED_05,FSEED_04,0.000045000000
FSITE_01,FSEED_05,FSEED_05,0.000225000000
FSITE_01,FSEED_05,FSEED_06,0.000045000000
FSITE_01,FSEED_05,FSEED_07,0.000045000000
FSITE_01,FSEED_05,FSEED_08,0.000045000000
FSITE_01,FSEED_06,FSEED_01,0.000045000000
FSITE_01,FSEED_06,FSEED_02,0.000045000000
FSITE_01,FSEED_06,FSEED_03,0.000045000000
FSITE_01,FSEED_06,FSEED_04,0.000045000000
FSITE_01,FSEED_06,FSEED_05,0.000045000000
FSITE_01,FSEED_06,FSEED_06,0.000225000000
FSITE_01,FSEED_06,FSEED_07,0.000045000000
FSITE_01,FSEED_06,FSEED_08,0.000045000000
FSITE_01,FSEED_07,FSEED_01,0.000045000000
FSITE_01,FSEED_07,FSEED_02,0.000045000000
FSITE_01,FSEED_07,FSEED_03,0.000045000000
FSITE_01,FSEED_07,FSEED_04,0.000045000000
FSITE_01,FSEED_07,FSEED_05,0.000045000000
FSITE_01,FSEED_07,FSEED_06,0.000045000000
FSITE_01,FSEED_07,FSEED_07,0.000225000000
FSITE_01,FSEED_07,FSEED_08,0.000045000000
FSITE_01,FSEED_08,FSEED_01,0.000045000000
FSITE_01,FSEED_08,FSEED_02,0.000045000000
FSITE_01,FSEED_08,FSEED_03,0.000045000000
FSITE_01,FSEED_08,FSEED_04,0.000045000000
FSITE_01,FSEED_08,FSEED_05,0.000045000000
FSITE_01,FSEED_08,FSEED_06,0.000045000000
FSITE_01,FSEED_08,FSEED_07,0.000045000000
FSITE_01,FSEED_08,FSEED_08,0.000225000000
FSITE_02,FSEED_01,FSEED_01,0.000230000000
FSITE_02,FSEED_01,FSEED_02,0.000046000000
FSITE_02,FSEED_01,FSEED_03,0.000046000000
