hospital_id,seed_id,EUL
FSITE_01,FSEED_01,0.015000000000
FSITE_01,FSEED_02,0.045000000000
FSITE_01,FSEED_03,0.075000000000
FSITE_01,FSEED_04,0.105000000000
FSITE_01,FSEED_05,0.135000000000
FSITE_01,FSEED_06,0.065000000000
FSITE_01,FSEED_07,0.095000000000
FSITE_01,FSEED_08,0.125000000000
FSITE_02,FSEED_01,0.061000000000
FSITE_02,FSEED_02,0.091000000000
FSITE_02,FSEED_03,0.121000000000
FSITE_02,FSEED_04,0.051000000000
FSITE_02,FSEED_05,0.081000000000
FSITE_02,FSEED_06,0.111000000000
FSITE_02,FSEED_07,0.141000000000
FSITE_02,FSEED_08,0.171000000000
FSITE_03,FSEED_01,0.107000000000
FSITE_03,FSEED_02,0.037000000000
FSITE_03,FSEED_03,0.067000000000
FSITE_03,FSEED_04,0.097000000000
FSITE_03,FSEED_05,0.127000000000
FSITE_03,FSEED_06,0.157000000000
FSITE_03,FSEED_07,0.087000000000
FSITE_03,FSEED_08,0.117000000000
FSITE_04,FSEED_01,0.053000000000
FSITE_04,FSEED_02,0.083000000000
FSITE_04,FSEED_03,0.113000000000
FSITE_04,FSEED_04,0.143000000000
FSITE_04,FSEED_05,0.073000000000
FSITE_04,FSEED_06,0.103000000000
FSITE_04,FSEED_07,0.133000000000
FSITE_04,FSEED_08,0.163000000000
FSITE_05,FSEED_01,0.099000000000
FSITE_05,FSEED_02,0.129000000000
FSITE_05,FSEED_03,0.059000000000
FSITE_05,FSEED_04,0.089000000000
FSITE_05,FSEED_05,0.119000000000
FSITE_05,FSEED_06,0.149000000000
FSITE_05,FSEED_07,0.179000000000
FSITE_05,FSEED_08,0.109000000000
FSITE_06,FSEED_01,0.043000000000
FSITE_06,FSEED_02,0.073000000000
FSITE_06,FSEED_03,0.103000000000
FSITE_06,FSEED_04,0.133000000000
FSITE_06,FSEED_05,0.163000000000
FSITE_06,FSEED_06,0.093000000000
FSITE_06,FSEED_07,0.123000000000
FSITE_06,FSEED_08,0.153000000000
FSITE_07,FSEED_01,0.087000000000
FSITE_07,FSEED_02,0.117000000000
FSITE_07,FSEED_03,0.147000000000
FSITE_07,FSEED_04,0.077000000000
FSITE_07,FSEED_05,0.107000000000
FSITE_07,FSEED_06,0.137000000000
FSITE_07,FSEED_07,0.167000000000
FSITE_07,FSEED_08,0.197000000000
FSITE_08,FSEED_01,0.131000000000
FSITE_08,FSEED_02,0.061000000000
FSITE_08,FSEED_03,0.091000000000
FSITE_08,FSEED_04,0.121000000000
FSITE_08,FSEED_05,0.151000000000
FSITE_08,FSEED_06,0.181000000000
FSITE_08,FSEED_07,0.111000000000
FSITE_08,FSEED_08,0.141000000000
FSITE_09,FSEED_01,0.077000000000
FSITE_09,FSEED_02,0.107000000000
FSITE_09,FSEED_03,0.137000000000
FSITE_09,FSEED_04,0.167000000000
FSITE_09,FSEED_05,0.097000000000
FSITE_09,FSEED_06,0.127000000000
FSITE_09,FSEED_07,0.157000000000
FSITE_09,FSEED_08,0.187000000000
FSITE_10,FSEED_01,0.123000000000
FSITE_10,FSEED_02,0.153000000000
FSITE_10,FSEED_03,0.083000000000
FSITE_10,FSEED_04,0.113000000000
FSITE_10,FSEED_05,0.143000000000
FSITE_10,FSEED_06,0.173000000000
FSITE_10,FSEED_07,0.203000000000
FSITE_10,FSEED_08,0.133000000000
FSITE_11,FSEED_01,0.069000000000
FSITE_11,FSEED_02,0.099000000000
FSITE_11,FSEED_03,0.129000000000
FSITE_11,FSEED_04,0.159000000000
FSITE_11,FSEED_05,0.189000000000
FSITE_11,FSEED_06,0.119000000000
FSITE_11,FSEED_07,0.149000000000
FSITE_11,FSEED_08,0.179000000000
FSITE_12,FSEED_01,0.115000000000
FSITE_12,FSEED_02,0.145000000000
FSITE_12,FSEED_03,0.175000000000
FSITE_12,FSEED_04,0.105000000000
FSITE_12,FSEED_05,0.135000000000
FSITE_12,FSEED_06,0.165000000000
FSITE_12,FSEED_07,0.195000000000
FSITE_12,FSEED_08,0.225000000000
